Precinct,Ethnic_Comp_Cat,Race,Race_Int,Eth_Pop_In_Precinct,Occurrences
1,0,W,1,51658,1
1,0,B,2,1909,1
1,0,Q,3,3519,1
5,1,W,1,11221,1
5,1,B,2,3601,2
5,1,Q,3,2962,1
6,0,W,1,49538,1
6,0,B,2,1334,1
6,0,Q,3,2764,1
7,1,W,1,13334,1
7,1,B,2,4732,1
7,1,Q,3,6517,1
9,1,W,1,39999,4
9,1,B,2,6311,5
9,1,Q,3,7558,1
10,1,W,1,31997,1
10,1,B,2,5551,1
10,1,Q,3,6417,1
13,0,W,1,63810,1
13,0,B,2,4403,1
13,0,Q,3,7832,2
14,0,W,1,11702,1
14,0,B,2,1291,1
14,0,Q,3,2191,1
17,0,W,1,53084,1
17,0,B,2,1774,1
17,0,Q,3,4000,1
18,0,W,1,33211,1
18,0,B,2,3070,1
18,0,Q,3,5785,1
19,0,W,1,163474,1
19,0,B,2,4804,1
19,0,Q,3,13304,1
20,0,W,1,77140,1
20,0,B,2,3391,1
20,0,Q,3,6789,1
22,2,W,1,0,1
22,2,B,2,2,1
22,2,Q,3,1,1
23,2,W,1,12715,1
23,2,B,2,23930,1
23,2,Q,3,13946,1
24,1,W,1,60570,1
24,1,B,2,12886,1
24,1,Q,3,10378,1
25,2,W,1,5104,1
25,2,B,2,22595,1
25,2,Q,3,5126,1
26,1,W,1,18889,1
26,1,B,2,11525,2
26,1,Q,3,3816,1
28,2,W,1,11687,1
28,2,B,2,28712,1
28,2,Q,3,3296,1
30,2,W,1,11126,1
30,2,B,2,20392,6
30,2,Q,3,9222,1
32,2,W,1,7203,1
32,2,B,2,52931,1
32,2,Q,3,4336,1
33,1,W,1,11089,1
33,1,B,2,14522,2
33,1,Q,3,15489,1
34,1,W,1,29030,1
34,1,B,2,12592,1
34,1,Q,3,21381,1
40,2,W,1,2009,1
40,2,B,2,31912,1
40,2,Q,3,9742,1
41,2,W,1,560,1
41,2,B,2,16897,3
41,2,Q,3,5491,6
42,2,W,1,1038,1
42,2,B,2,37492,2
42,2,Q,3,7368,1
43,2,W,1,4600,1
43,2,B,2,63601,1
43,2,Q,3,39802,1
44,2,W,1,2566,1
44,2,B,2,52169,10
44,2,Q,3,14615,4
45,1,W,1,35508,1
45,1,B,2,32707,1
45,1,Q,3,16986,1
46,2,W,1,1967,1
46,2,B,2,43195,4
46,2,Q,3,11691,4
47,2,W,1,10326,1
47,2,B,2,110839,1
47,2,Q,3,10731,1
48,2,W,1,6222,1
48,2,B,2,25632,1
48,2,Q,3,9528,1
49,2,W,1,27967,1
49,2,B,2,28132,1
49,2,Q,3,13097,1
50,1,W,1,36836,1
50,1,B,2,16247,1
50,1,Q,3,11852,1
52,2,W,1,8601,1
52,2,B,2,28956,1
52,2,Q,3,17062,1
60,1,W,1,56417,1
60,1,B,2,14039,1
60,1,Q,3,6195,1
61,0,W,1,110162,1
61,0,B,2,6839,1
61,0,Q,3,8463,1
62,0,W,1,83698,1
62,0,B,2,2380,1
