Precinct,Ethnic_Comp_Cat,Race,Race_Int,Eth_Pop_In_Precinct,Occurrences
1,0,W,1,51658,0
1,0,B,2,1909,0
1,0,Q,3,3519,0
5,1,W,1,11221,0
5,1,B,2,3601,1
5,1,Q,3,2962,2
6,0,W,1,49538,0
6,0,B,2,1334,1
6,0,Q,3,2764,0
7,1,W,1,13334,0
7,1,B,2,4732,0
7,1,Q,3,6517,0
9,1,W,1,39999,0
9,1,B,2,6311,4
9,1,Q,3,7558,1
10,1,W,1,31997,0
10,1,B,2,5551,1
10,1,Q,3,6417,0
13,0,W,1,63810,0
13,0,B,2,4403,0
13,0,Q,3,7832,0
14,0,W,1,11702,0
14,0,B,2,1291,0
14,0,Q,3,2191,0
17,0,W,1,53084,0
17,0,B,2,1774,0
17,0,Q,3,4000,0
18,0,W,1,33211,1
18,0,B,2,3070,0
18,0,Q,3,5785,0
19,0,W,1,163474,0
19,0,B,2,4804,0
19,0,Q,3,13304,0
20,0,W,1,77140,0
20,0,B,2,3391,0
20,0,Q,3,6789,1
22,2,W,1,0,0
22,2,B,2,2,0
22,2,Q,3,1,0
23,2,W,1,12715,0
23,2,B,2,23930,6
23,2,Q,3,13946,4
24,1,W,1,60570,1
24,1,B,2,12886,5
24,1,Q,3,10378,3
25,2,W,1,5104,0
25,2,B,2,22595,13
25,2,Q,3,5126,7
26,1,W,1,18889,0
26,1,B,2,11525,2
26,1,Q,3,3816,0
28,2,W,1,11687,0
28,2,B,2,28712,0
28,2,Q,3,3296,0
30,2,W,1,11126,0
30,2,B,2,20392,0
30,2,Q,3,9222,4
32,2,W,1,7203,0
32,2,B,2,52931,25
32,2,Q,3,4336,2
33,1,W,1,11089,0
33,1,B,2,14522,6
33,1,Q,3,15489,2
34,1,W,1,29030,0
34,1,B,2,12592,0
34,1,Q,3,21381,0
40,2,W,1,2009,2
40,2,B,2,31912,59
40,2,Q,3,9742,23
41,2,W,1,560,0
41,2,B,2,16897,15
41,2,Q,3,5491,19
42,2,W,1,1038,0
42,2,B,2,37492,25
42,2,Q,3,7368,6
43,2,W,1,4600,0
43,2,B,2,63601,8
43,2,Q,3,39802,10
44,2,W,1,2566,0
44,2,B,2,52169,16
44,2,Q,3,14615,7
45,1,W,1,35508,0
45,1,B,2,32707,0
45,1,Q,3,16986,0
46,2,W,1,1967,0
46,2,B,2,43195,5
46,2,Q,3,11691,3
47,2,W,1,10326,0
47,2,B,2,110839,11
47,2,Q,3,10731,3
48,2,W,1,6222,0
48,2,B,2,25632,4
48,2,Q,3,9528,1
49,2,W,1,27967,15
49,2,B,2,28132,22
49,2,Q,3,13097,23
50,1,W,1,36836,0
50,1,B,2,16247,0
50,1,Q,3,11852,0
52,2,W,1,8601,2
52,2,B,2,28956,0
52,2,Q,3,17062,0
60,1,W,1,56417,2
60,1,B,2,14039,7
60,1,Q,3,6195,3
61,0,W,1,110162,0
61,0,B,2,6839,1
61,0,Q,3,8463,0
62,0,W,1,83698,0
62,0,B,2,2380,0
62,0,Q,3,10680,0
63,2,W,1,44447,1
63,2,B,2,58092,0
63,2,Q,3,4535,0
66,0,W,1,124869,0
66,0,B,2,4822,1
66,0,Q,3,9238,1
67,2,W,1,3947,0
67,2,B,2,141102,10
67,2,Q,3,1729,0
68,0,W,1,70217,0
68,0,B,2,2459,0
68,0,Q,3,9287,0
69,2,W,1,4325,0
69,2,B,2,77595,1
69,2,Q,3,1517,1
70,2,W,1,63474,0
70,2,B,2,54315,12
70,2,Q,3,7131,2
71,2,W,1,25312,0
71,2,B,2,69545,10
71,2,Q,3,1880,0
72,0,W,1,32153,0
72,0,B,2,4399,1
72,0,Q,3,20791,0
73,2,W,1,2478,0
73,2,B,2,70263,6
73,2,Q,3,3929,0
75,2,W,1,6586,2
75,2,B,2,113496,19
75,2,Q,3,29969,1
76,1,W,1,28309,2
76,1,B,2,7174,6
76,1,Q,3,4438,2
77,2,W,1,19968,0
77,2,B,2,56793,4
77,2,Q,3,2340,0
78,0,W,1,50245,0
78,0,B,2,6080,0
78,0,Q,3,5183,0
79,2,W,1,23987,1
79,2,B,2,44895,41
79,2,Q,3,5858,6
81,2,W,1,8182,0
81,2,B,2,53850,2
81,2,Q,3,3561,0
83,2,W,1,19535,0
83,2,B,2,33828,1
83,2,Q,3,26504,0
84,1,W,1,34633,4
84,1,B,2,6219,11
84,1,Q,3,2973,4
88,2,W,1,20042,0
88,2,B,2,25548,0
88,2,Q,3,2601,1
90,1,W,1,69288,0
90,1,B,2,12079,0
90,1,Q,3,16499,1
94,0,W,1,45245,0
94,0,B,2,3655,0
94,0,Q,3,5948,0
100,1,W,1,26862,0
100,1,B,2,11233,0
100,1,Q,3,5303,0
101,2,W,1,16297,0
101,2,B,2,35080,1
101,2,Q,3,12097,0
102,1,W,1,27672,0
102,1,B,2,9981,8
102,1,Q,3,32181,6
103,2,W,1,2686,0
103,2,B,2,45602,0
103,2,Q,3,7217,0
104,0,W,1,94554,1
104,0,B,2,3195,0
104,0,Q,3,49986,8
105,2,W,1,23439,0
105,2,B,2,117410,0
105,2,Q,3,9422,0
106,1,W,1,30366,0
106,1,B,2,21690,0
106,1,Q,3,14827,0
107,1,W,1,50515,2
107,1,B,2,20161,0
107,1,Q,3,12692,1
108,0,W,1,35650,1
108,0,B,2,2464,0
108,0,Q,3,30293,2
109,0,W,1,63642,2
109,0,B,2,6213,1
109,0,Q,3,16675,2
110,1,W,1,11229,0
110,1,B,2,12710,1
110,1,Q,3,42797,0
111,0,W,1,50020,0
111,0,B,2,2575,0
111,0,Q,3,7827,0
112,0,W,1,56706,0
112,0,B,2,3672,0
112,0,Q,3,12385,1
113,2,W,1,1448,0
113,2,B,2,110006,1
113,2,Q,3,2595,0
114,1,W,1,89519,0
114,1,B,2,19411,1
114,1,Q,3,28235,0
115,1,W,1,17738,0
115,1,B,2,11363,0
115,1,Q,3,53690,0
120,1,W,1,43985,16
120,1,B,2,27334,82
120,1,Q,3,18713,21
121,1,W,1,61461,0
121,1,B,2,16083,2
121,1,Q,3,19971,1
122,0,W,1,102714,27
122,0,B,2,4746,5
122,0,Q,3,13451,7
123,0,W,1,87356,0
123,0,B,2,1074,0
123,0,Q,3,8441,0
