Precinct,Ethnic_Comp_Cat,Race,Race_Int,Eth_Pop_In_Precinct,Occurrences
1,0,W,1,51658,1
1,0,B,2,1909,18
1,0,Q,3,3519,1
5,1,W,1,11221,15
5,1,B,2,3601,34
5,1,Q,3,2962,28
6,0,W,1,49538,2
6,0,B,2,1334,10
6,0,Q,3,2764,2
7,1,W,1,13334,1
7,1,B,2,4732,2
7,1,Q,3,6517,0
9,1,W,1,39999,2
9,1,B,2,6311,11
9,1,Q,3,7558,2
10,1,W,1,31997,0
10,1,B,2,5551,1
10,1,Q,3,6417,0
13,0,W,1,63810,1
13,0,B,2,4403,4
13,0,Q,3,7832,0
14,0,W,1,11702,0
14,0,B,2,1291,1
14,0,Q,3,2191,1
17,0,W,1,53084,0
17,0,B,2,1774,0
17,0,Q,3,4000,0
18,0,W,1,33211,0
18,0,B,2,3070,3
18,0,Q,3,5785,1
19,0,W,1,163474,0
19,0,B,2,4804,2
19,0,Q,3,13304,0
20,0,W,1,77140,1
20,0,B,2,3391,0
20,0,Q,3,6789,0
22,2,W,1,0,0
22,2,B,2,2,6
22,2,Q,3,1,2
23,2,W,1,12715,2
23,2,B,2,23930,27
23,2,Q,3,13946,15
24,1,W,1,60570,10
24,1,B,2,12886,50
24,1,Q,3,10378,19
25,2,W,1,5104,3
25,2,B,2,22595,63
25,2,Q,3,5126,9
26,1,W,1,18889,7
26,1,B,2,11525,22
26,1,Q,3,3816,7
28,2,W,1,11687,0
28,2,B,2,28712,4
28,2,Q,3,3296,0
30,2,W,1,11126,1
30,2,B,2,20392,18
30,2,Q,3,9222,4
32,2,W,1,7203,2
32,2,B,2,52931,78
32,2,Q,3,4336,8
33,1,W,1,11089,0
33,1,B,2,14522,1
33,1,Q,3,15489,3
34,1,W,1,29030,0
34,1,B,2,12592,2
34,1,Q,3,21381,2
40,2,W,1,2009,9
40,2,B,2,31912,153
40,2,Q,3,9742,79
41,2,W,1,560,7
41,2,B,2,16897,122
41,2,Q,3,5491,106
42,2,W,1,1038,2
42,2,B,2,37492,86
42,2,Q,3,7368,24
43,2,W,1,4600,0
43,2,B,2,63601,19
43,2,Q,3,39802,11
44,2,W,1,2566,1
44,2,B,2,52169,97
44,2,Q,3,14615,48
45,1,W,1,35508,0
45,1,B,2,32707,0
45,1,Q,3,16986,0
46,2,W,1,1967,1
46,2,B,2,43195,48
46,2,Q,3,11691,9
47,2,W,1,10326,1
47,2,B,2,110839,92
47,2,Q,3,10731,10
48,2,W,1,6222,3
48,2,B,2,25632,17
48,2,Q,3,9528,16
49,2,W,1,27967,30
49,2,B,2,28132,152
49,2,Q,3,13097,78
50,1,W,1,36836,5
50,1,B,2,16247,10
50,1,Q,3,11852,13
52,2,W,1,8601,1
52,2,B,2,28956,8
52,2,Q,3,17062,2
60,1,W,1,56417,36
60,1,B,2,14039,87
60,1,Q,3,6195,30
61,0,W,1,110162,6
61,0,B,2,6839,9
61,0,Q,3,8463,3
62,0,W,1,83698,2
62,0,B,2,2380,0
62,0,Q,3,10680,0
63,2,W,1,44447,1
63,2,B,2,58092,18
63,2,Q,3,4535,1
66,0,W,1,124869,7
66,0,B,2,4822,16
66,0,Q,3,9238,5
67,2,W,1,3947,0
67,2,B,2,141102,15
67,2,Q,3,1729,0
68,0,W,1,70217,1
68,0,B,2,2459,0
68,0,Q,3,9287,0
69,2,W,1,4325,0
69,2,B,2,77595,11
69,2,Q,3,1517,0
70,2,W,1,63474,36
70,2,B,2,54315,174
70,2,Q,3,7131,16
71,2,W,1,25312,0
71,2,B,2,69545,47
71,2,Q,3,1880,3
72,0,W,1,32153,0
72,0,B,2,4399,0
72,0,Q,3,20791,1
73,2,W,1,2478,1
73,2,B,2,70263,59
73,2,Q,3,3929,4
75,2,W,1,6586,4
75,2,B,2,113496,158
75,2,Q,3,29969,42
76,1,W,1,28309,2
76,1,B,2,7174,19
76,1,Q,3,4438,6
77,2,W,1,19968,0
77,2,B,2,56793,17
77,2,Q,3,2340,1
78,0,W,1,50245,14
78,0,B,2,6080,31
78,0,Q,3,5183,10
79,2,W,1,23987,9
79,2,B,2,44895,141
79,2,Q,3,5858,27
81,2,W,1,8182,1
81,2,B,2,53850,62
81,2,Q,3,3561,0
83,2,W,1,19535,0
83,2,B,2,33828,2
83,2,Q,3,26504,2
84,1,W,1,34633,13
84,1,B,2,6219,124
84,1,Q,3,2973,26
88,2,W,1,20042,4
88,2,B,2,25548,25
88,2,Q,3,2601,6
90,1,W,1,69288,4
90,1,B,2,12079,15
90,1,Q,3,16499,10
94,0,W,1,45245,0
94,0,B,2,3655,0
94,0,Q,3,5948,0
100,1,W,1,26862,1
100,1,B,2,11233,13
100,1,Q,3,5303,3
101,2,W,1,16297,0
101,2,B,2,35080,16
101,2,Q,3,12097,2
102,1,W,1,27672,36
102,1,B,2,9981,112
102,1,Q,3,32181,168
103,2,W,1,2686,1
103,2,B,2,45602,15
103,2,Q,3,7217,10
104,0,W,1,94554,13
104,0,B,2,3195,30
104,0,Q,3,49986,29
105,2,W,1,23439,0
105,2,B,2,117410,1
105,2,Q,3,9422,0
106,1,W,1,30366,1
106,1,B,2,21690,5
106,1,Q,3,14827,0
107,1,W,1,50515,85
107,1,B,2,20161,162
107,1,Q,3,12692,96
108,0,W,1,35650,5
108,0,B,2,2464,16
108,0,Q,3,30293,20
109,0,W,1,63642,34
109,0,B,2,6213,34
109,0,Q,3,16675,68
110,1,W,1,11229,3
110,1,B,2,12710,10
110,1,Q,3,42797,24
111,0,W,1,50020,7
111,0,B,2,2575,7
111,0,Q,3,7827,5
112,0,W,1,56706,37
112,0,B,2,3672,44
112,0,Q,3,12385,33
113,2,W,1,1448,1
113,2,B,2,110006,7
113,2,Q,3,2595,0
114,1,W,1,89519,0
114,1,B,2,19411,11
114,1,Q,3,28235,7
115,1,W,1,17738,2
115,1,B,2,11363,24
115,1,Q,3,53690,46
120,1,W,1,43985,60
120,1,B,2,27334,251
120,1,Q,3,18713,66
121,1,W,1,61461,3
121,1,B,2,16083,12
121,1,Q,3,19971,3
122,0,W,1,102714,197
122,0,B,2,4746,64
122,0,Q,3,13451,64
123,0,W,1,87356,0
123,0,B,2,1074,0
123,0,Q,3,8441,0
