Precinct,Ethnic_Comp_Cat,Race,Race_Int,Eth_Pop_In_Precinct,Occurrences
1,0,W,1,51658,3
1,0,B,2,1909,9
1,0,Q,3,3519,3
5,1,W,1,11221,2
5,1,B,2,3601,11
5,1,Q,3,2962,2
6,0,W,1,49538,0
6,0,B,2,1334,2
6,0,Q,3,2764,0
7,1,W,1,13334,0
7,1,B,2,4732,0
7,1,Q,3,6517,0
9,1,W,1,39999,1
9,1,B,2,6311,7
9,1,Q,3,7558,1
10,1,W,1,31997,0
10,1,B,2,5551,0
10,1,Q,3,6417,0
13,0,W,1,63810,0
13,0,B,2,4403,0
13,0,Q,3,7832,0
14,0,W,1,11702,0
14,0,B,2,1291,1
14,0,Q,3,2191,0
17,0,W,1,53084,0
17,0,B,2,1774,3
17,0,Q,3,4000,0
18,0,W,1,33211,0
18,0,B,2,3070,0
18,0,Q,3,5785,0
19,0,W,1,163474,0
19,0,B,2,4804,0
19,0,Q,3,13304,0
20,0,W,1,77140,0
20,0,B,2,3391,0
20,0,Q,3,6789,0
22,2,W,1,0,0
22,2,B,2,2,0
22,2,Q,3,1,0
23,2,W,1,12715,1
23,2,B,2,23930,9
23,2,Q,3,13946,4
24,1,W,1,60570,2
24,1,B,2,12886,18
24,1,Q,3,10378,6
25,2,W,1,5104,2
25,2,B,2,22595,37
25,2,Q,3,5126,5
26,1,W,1,18889,1
26,1,B,2,11525,11
26,1,Q,3,3816,2
28,2,W,1,11687,0
28,2,B,2,28712,6
28,2,Q,3,3296,2
30,2,W,1,11126,0
30,2,B,2,20392,3
30,2,Q,3,9222,4
32,2,W,1,7203,0
32,2,B,2,52931,18
32,2,Q,3,4336,1
33,1,W,1,11089,0
33,1,B,2,14522,0
33,1,Q,3,15489,0
34,1,W,1,29030,0
34,1,B,2,12592,3
34,1,Q,3,21381,1
40,2,W,1,2009,0
40,2,B,2,31912,31
40,2,Q,3,9742,10
41,2,W,1,560,1
41,2,B,2,16897,28
41,2,Q,3,5491,29
42,2,W,1,1038,0
42,2,B,2,37492,12
42,2,Q,3,7368,5
43,2,W,1,4600,0
43,2,B,2,63601,0
43,2,Q,3,39802,0
44,2,W,1,2566,1
44,2,B,2,52169,28
44,2,Q,3,14615,12
45,1,W,1,35508,0
45,1,B,2,32707,0
45,1,Q,3,16986,0
46,2,W,1,1967,1
46,2,B,2,43195,27
46,2,Q,3,11691,4
47,2,W,1,10326,1
47,2,B,2,110839,13
47,2,Q,3,10731,4
48,2,W,1,6222,0
48,2,B,2,25632,5
48,2,Q,3,9528,4
49,2,W,1,27967,3
49,2,B,2,28132,17
49,2,Q,3,13097,10
50,1,W,1,36836,0
50,1,B,2,16247,0
50,1,Q,3,11852,3
52,2,W,1,8601,0
52,2,B,2,28956,1
52,2,Q,3,17062,1
60,1,W,1,56417,2
60,1,B,2,14039,12
60,1,Q,3,6195,5
61,0,W,1,110162,0
61,0,B,2,6839,0
61,0,Q,3,8463,0
62,0,W,1,83698,0
62,0,B,2,2380,0
62,0,Q,3,10680,0
63,2,W,1,44447,0
63,2,B,2,58092,0
63,2,Q,3,4535,1
66,0,W,1,124869,1
66,0,B,2,4822,4
66,0,Q,3,9238,2
67,2,W,1,3947,0
67,2,B,2,141102,2
67,2,Q,3,1729,1
68,0,W,1,70217,0
68,0,B,2,2459,0
68,0,Q,3,9287,0
69,2,W,1,4325,0
69,2,B,2,77595,3
69,2,Q,3,1517,0
70,2,W,1,63474,1
70,2,B,2,54315,28
70,2,Q,3,7131,1
71,2,W,1,25312,0
71,2,B,2,69545,20
71,2,Q,3,1880,1
72,0,W,1,32153,0
72,0,B,2,4399,0
72,0,Q,3,20791,0
73,2,W,1,2478,0
73,2,B,2,70263,9
73,2,Q,3,3929,0
75,2,W,1,6586,0
75,2,B,2,113496,46
75,2,Q,3,29969,16
76,1,W,1,28309,0
76,1,B,2,7174,3
76,1,Q,3,4438,1
77,2,W,1,19968,0
77,2,B,2,56793,6
77,2,Q,3,2340,0
78,0,W,1,50245,1
78,0,B,2,6080,6
78,0,Q,3,5183,3
79,2,W,1,23987,0
79,2,B,2,44895,29
79,2,Q,3,5858,3
81,2,W,1,8182,0
81,2,B,2,53850,17
81,2,Q,3,3561,0
83,2,W,1,19535,0
83,2,B,2,33828,0
83,2,Q,3,26504,2
84,1,W,1,34633,3
84,1,B,2,6219,36
84,1,Q,3,2973,6
88,2,W,1,20042,0
88,2,B,2,25548,8
88,2,Q,3,2601,1
90,1,W,1,69288,0
90,1,B,2,12079,7
90,1,Q,3,16499,2
94,0,W,1,45245,0
94,0,B,2,3655,0
94,0,Q,3,5948,0
100,1,W,1,26862,2
100,1,B,2,11233,7
100,1,Q,3,5303,0
101,2,W,1,16297,0
101,2,B,2,35080,6
101,2,Q,3,12097,0
102,1,W,1,27672,3
102,1,B,2,9981,8
102,1,Q,3,32181,4
103,2,W,1,2686,0
103,2,B,2,45602,1
103,2,Q,3,7217,0
104,0,W,1,94554,1
104,0,B,2,3195,3
104,0,Q,3,49986,4
105,2,W,1,23439,0
105,2,B,2,117410,2
105,2,Q,3,9422,0
106,1,W,1,30366,0
106,1,B,2,21690,0
106,1,Q,3,14827,1
107,1,W,1,50515,0
107,1,B,2,20161,2
107,1,Q,3,12692,3
108,0,W,1,35650,0
108,0,B,2,2464,1
108,0,Q,3,30293,0
109,0,W,1,63642,2
109,0,B,2,6213,1
109,0,Q,3,16675,8
110,1,W,1,11229,0
110,1,B,2,12710,4
110,1,Q,3,42797,8
111,0,W,1,50020,0
111,0,B,2,2575,0
111,0,Q,3,7827,1
112,0,W,1,56706,2
112,0,B,2,3672,4
112,0,Q,3,12385,3
113,2,W,1,1448,0
113,2,B,2,110006,2
113,2,Q,3,2595,0
114,1,W,1,89519,0
114,1,B,2,19411,4
114,1,Q,3,28235,1
115,1,W,1,17738,3
115,1,B,2,11363,7
115,1,Q,3,53690,31
120,1,W,1,43985,9
120,1,B,2,27334,28
120,1,Q,3,18713,7
121,1,W,1,61461,0
121,1,B,2,16083,1
121,1,Q,3,19971,0
122,0,W,1,102714,1
122,0,B,2,4746,9
122,0,Q,3,13451,2
123,0,W,1,87356,0
123,0,B,2,1074,0
123,0,Q,3,8441,0
