Precinct,Ethnic_Comp_Cat,Race,Race_Int,Eth_Pop_In_Precinct,Occurrences
1,0,W,1,51658,1
1,0,B,2,1909,3
1,0,Q,3,3519,0
5,1,W,1,11221,8
5,1,B,2,3601,15
5,1,Q,3,2962,5
6,0,W,1,49538,0
6,0,B,2,1334,2
6,0,Q,3,2764,0
7,1,W,1,13334,0
7,1,B,2,4732,0
7,1,Q,3,6517,0
9,1,W,1,39999,1
9,1,B,2,6311,6
9,1,Q,3,7558,5
10,1,W,1,31997,0
10,1,B,2,5551,0
10,1,Q,3,6417,0
13,0,W,1,63810,2
13,0,B,2,4403,0
13,0,Q,3,7832,0
14,0,W,1,11702,0
14,0,B,2,1291,0
14,0,Q,3,2191,0
17,0,W,1,53084,0
17,0,B,2,1774,7
17,0,Q,3,4000,0
18,0,W,1,33211,1
18,0,B,2,3070,2
18,0,Q,3,5785,0
19,0,W,1,163474,0
19,0,B,2,4804,0
19,0,Q,3,13304,0
20,0,W,1,77140,1
20,0,B,2,3391,0
20,0,Q,3,6789,0
22,2,W,1,0,0
22,2,B,2,2,0
22,2,Q,3,1,0
23,2,W,1,12715,2
23,2,B,2,23930,46
23,2,Q,3,13946,13
24,1,W,1,60570,2
24,1,B,2,12886,37
24,1,Q,3,10378,4
25,2,W,1,5104,2
25,2,B,2,22595,115
25,2,Q,3,5126,14
26,1,W,1,18889,0
26,1,B,2,11525,14
26,1,Q,3,3816,3
28,2,W,1,11687,0
28,2,B,2,28712,10
28,2,Q,3,3296,1
30,2,W,1,11126,1
30,2,B,2,20392,24
30,2,Q,3,9222,13
32,2,W,1,7203,1
32,2,B,2,52931,60
32,2,Q,3,4336,7
33,1,W,1,11089,0
33,1,B,2,14522,2
33,1,Q,3,15489,1
34,1,W,1,29030,0
34,1,B,2,12592,2
34,1,Q,3,21381,3
40,2,W,1,2009,1
40,2,B,2,31912,132
40,2,Q,3,9742,54
41,2,W,1,560,1
41,2,B,2,16897,129
41,2,Q,3,5491,98
42,2,W,1,1038,0
42,2,B,2,37492,93
42,2,Q,3,7368,24
43,2,W,1,4600,0
43,2,B,2,63601,14
43,2,Q,3,39802,3
44,2,W,1,2566,3
44,2,B,2,52169,178
44,2,Q,3,14615,85
45,1,W,1,35508,0
45,1,B,2,32707,0
