FIPS,Police Precinct ID,Ge0_Name,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races
3.6061E+11,1,"Block Group 1, Census Tract 1, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 0, Census Tract 5, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 1, Census Tract 5, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 1, Census Tract 7, New York County, New York",8881,8436,6343,226,0,1648,0,57,162,445,271,4,0,0,0,76,94
3.6061E+11,1,"Block Group 0, Census Tract 9, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 1, Census Tract 9, New York County, New York",1736,1596,1175,45,0,280,10,0,86,140,76,4,0,0,0,59,1
3.6061E+11,1,"Block Group 1, Census Tract 13, New York County, New York",2538,2232,1675,60,0,438,0,0,59,306,95,0,0,0,0,99,112
3.6061E+11,1,"Block Group 2, Census Tract 13, New York County, New York",2267,1933,1317,0,0,515,0,31,70,334,254,25,0,0,0,14,41
3.6061E+11,1,"Block Group 0, Census Tract 15.01, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6061E+11,1,"Block Group 1, Census Tract 15.01, New York County, New York",2808,2605,1847,123,0,508,0,74,53,203,128,9,0,0,0,50,16
3.6061E+11,1,"Block Group 2, Census Tract 15.01, New York County, New York",3027,2725,1599,221,0,816,0,0,89,302,216,13,0,44,0,29,0
3.6061E+11,1,"Block Group 3, Census Tract 15.01, New York County, New York",1057,976,472,0,25,462,0,0,17,81,81,0,0,0,0,0,0
3.6061E+11,1,"Block Group 0, Census Tract 15.02, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
