Precinct,Population_Total,Population_White,Population_Black,Population_Hispanic,White_Drug_Prev_Arrests,Black_Drug_Prev_Arrests,Hispanic_Drug_Prev_Arrests,White_Drug_Stops,Black_Drug_Stops,Hispanic_Drug_Stops,White_Weapon_Prev_Arrests,Black_Weapon_Prev_Arrests,Hispanic_Weapon_Prev_Arrests,White_Weapon_Stops,Black_Weapon_Stops,Hispanic_Weapon_Stops,White_Violent_Prev_Arrests,Black_Violent_Prev_Arrests,Hispanic_Violent_Prev_Arrests,White_Violent_Stops,Black_Violent_Stops,Hispanic_Violent_Stops,White_Property_Prev_Arrests,Black_Property_Prev_Arrests,Hispanic_Property_Prev_Arrests,White_Property_Stops,Black_Property_Stops,Hispanic_Property_Stops
1,57086,51658,1909,3519,1,1,1,0,0,0,1,1,1,1,3,0,1,1,1,3,9,3,1,5,1,1,18,1
5,17784,11221,3601,2962,1,2,1,0,1,2,1,1,1,8,15,5,1,2,1,2,11,2,1,9,7,15,34,28
6,53636,49538,1334,2764,1,3,1,0,1,0,1,1,1,0,2,0,1,1,1,0,2,0,1,7,1,2,10,2
7,24583,13334,4732,6517,1,2,1,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,1,8,6,1,2,0
9,53868,39999,6311,7558,3,4,3,0,4,1,3,3,5,1,6,5,4,5,1,1,7,1,10,18,19,2,11,2
10,43965,31997,5551,6417,1,2,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,7,3,0,1,0
13,76045,63810,4403,7832,1,1,1,0,0,0,55,15,18,2,0,0,1,1,2,0,0,0,2,5,2,1,4,0
14,15184,11702,1291,2191,1,1,1,0,0,0,12,6,1,0,0,0,1,1,1,0,1,0,1,4,1,0,1,1
17,58858,53084,1774,4000,1,1,1,0,0,0,5,3,1,0,7,0,1,1,1,0,3,0,1,1,1,0,0,0
18,42066,33211,3070,5785,1,1,1,1,0,0,1,1,1,1,2,0,1,1,1,0,0,0,1,1,1,0,3,1
19,181582,163474,4804,13304,1,1,1,0,0,0,1,2,5,0,0,0,1,1,1,0,0,0,1,2,2,0,2,0
20,87320,77140,3391,6789,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0
22,3,0,2,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,6,2
23,50591,12715,23930,13946,1,1,1,0,6,4,1,2,3,2,46,13,1,1,1,1,9,4,1,7,1,2,27,15
24,83834,60570,12886,10378,1,2,2,1,5,3,1,3,1,2,37,4,1,1,1,2,18,6,2,29,8,10,50,19
25,32825,5104,22595,5126,1,1,1,0,13,7,1,10,4,2,115,14,1,1,1,2,37,5,1,15,1,3,63,9
26,34230,18889,11525,3816,1,3,1,0,2,0,1,1,1,0,14,3,1,2,1,1,11,2,1,28,7,7,22,7
28,43695,11687,28712,3296,1,1,1,0,0,0,1,1,1,0,10,1,1,1,1,0,6,2,1,1,1,0,4,0
30,40740,11126,20392,9222,1,3,1,0,0,4,2,19,8,1,24,13,1,6,1,0,3,4,2,10,7,1,18,4
32,64470,7203,52931,4336,1,5,1,0,25,2,1,6,1,1,60,7,1,1,1,0,18,1,1,35,5,2,78,8
33,41100,11089,14522,15489,1,1,1,0,6,2,1,7,2,0,2,1,1,2,1,0,0,0,1,6,4,0,1,3
34,63003,29030,12592,21381,1,1,1,0,0,0,1,1,1,0,2,3,1,1,1,0,3,1,1,1,1,0,2,2
40,43663,2009,31912,9742,1,62,46,2,59,23,1,11,10,1,132,54,1,1,1,0,31,10,4,99,78,9,153,79
41,22948,560,16897,5491,1,4,4,0,15,19,1,12,16,1,129,98,1,3,6,1,28,29,1,15,10,7,122,106
42,45898,1038,37492,7368,1,38,20,0,25,6,1,15,6,0,93,24,1,2,1,0,12,5,3,42,24,2,86,24
43,108003,4600,63601,39802,1,4,3,0,8,10,1,1,1,0,14,3,1,1,1,0,0,0,1,5,5,0,19,11
44,69350,2566,52169,14615,1,6,8,0,16,7,2,71,25,3,178,85,1,10,4,1,28,12,1,32,20,1,97,48
45,85201,35508,32707,16986,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0
